หมายเลขห้อง,ตึก,ชั้น,ประเภท,ราคาต่อคืน
A101,A,1,Standard,400.0
A102,A,1,Standard,400.0
A103,A,1,Standard,400.0
A104,A,1,Standard,400.0
A105,A,1,Standard,400.0
A106,A,1,Standard Twin,500.0
A107,A,1,Standard Twin,500.0
A108,A,1,Standard Twin,500.0
A109,A,1,Standard Twin,500.0
A110,A,1,Standard Twin,500.0
A111,A,1,Standard,400.0
A202,A,2,Standard,400.0
A203,A,2,Standard,400.0
A207,A,2,Standard,400.0
A209,A,2,Standard,400.0
A210,A,2,Standard,400.0
B101,B,1,Standard,400.0
B102,B,1,Standard,400.0
B103,B,1,Standard,400.0
B104,B,1,Standard,400.0
B105,B,1,Standard,400.0
B106,B,1,Standard,400.0
B107,B,1,Standard,400.0
B108,B,1,Standard,400.0
B109,B,1,Standard,400.0
B110,B,1,Standard,400.0
B111,B,1,Standard Twin,500.0
B201,B,2,Standard,400.0
B202,B,2,Standard,400.0
B203,B,2,Standard,400.0
B204,B,2,Standard,400.0
B205,B,2,Standard,400.0
B206,B,2,Standard,400.0
B207,B,2,Standard,400.0
B208,B,2,Standard,400.0
B209,B,2,Standard,400.0
B210,B,2,Standard,400.0
B211,B,2,Standard,400.0
N1,N,1,Standard Twin,600.0
N2,N,1,Standard,500.0
N3,N,1,Standard,500.0
N4,N,1,Standard Twin,600.0
N5,N,1,Standard Twin,600.0
N6,N,1,Standard Twin,600.0
N7,N,1,Standard,500.0
